 5, -152.95208740234375, [0.15144908 0.25572243 1.         0.32069027 0.59061724],  [0.09242287 0.14987531 1.         0.41052243 0.43943623], [0.15869394 0.23812339 1.         0.7544354  0.49426585] 
 5, -147.24082946777344, [0.06994919 0.21489318 1.         0.35558406 0.44940853],  [0.24505481 0.29850844 1.         0.6111955  0.46266806], [0.0367816  0.20990875 1.         0.07519528 0.45572188] 
 5, -157.89569091796875, [0.1135896  0.39113677 1.         0.38122147 0.5792617 ],  [0.11206143 0.36277056 1.         0.45547628 0.308069  ], [0.12925498 0.323081   1.         0.25503334 0.59845465] 
 5, -159.3482208251953, [0.10664866 0.29493418 1.         0.29372093 0.45633876],  [0.05365698 0.13025585 1.         0.17956783 0.31265554], [0.02166874 0.10685959 1.         0.13712683 0.28834972] 
 5, -146.6945343017578, [0.05825444 0.2657866  1.         0.26523706 0.41196135],  [0.12003816 0.31118572 1.         0.188332   0.29416192], [0.08074193 0.26392967 1.         0.14583685 0.38205343] 
 5, -145.59706115722656, [0.19598551 0.40636793 1.         0.30824143 0.4347512 ],  [0.00828429 0.29341114 1.         0.2291159  0.23279235], [0.01689193 0.27966696 1.         0.1428343  0.49521455] 
 5, -171.04733276367188, [0.10921001 0.38109156 1.         0.6185174  0.45309943],  [0.23377872 0.32031313 1.         0.6247857  0.5094872 ], [0.13747273 0.6002067  1.         0.32838386 0.85953444] 
 5, -162.8221893310547, [0.05457716 0.28405192 1.         0.24980219 0.42779914],  [0.11061414 0.28550568 1.         0.22113614 0.5121038 ], [0.05781122 0.21953575 1.         0.30422646 0.52796626] 
 5, -137.48019409179688, [0.11356807 0.32000113 1.         0.20676829 0.22466975],  [0.06368841 0.40337628 1.         0.64444005 0.36710986], [0.07892759 0.33242553 1.         0.3000976  0.22246234] 
 5, -172.8163299560547, [0.10780178 0.39067614 1.         0.47021687 0.7259997 ],  [0.10847791 0.46096808 1.         0.5446933  0.6146647 ], [0.05726628 0.5496312  1.         0.24217781 0.6878047 ] 
 5, -141.43946838378906, [0.10829605 0.33461487 1.         0.42667    0.62551033],  [0.13111565 0.16759592 1.         0.24537599 0.35884812], [0.2098105  0.31939867 1.         0.3620052  0.33680803] 
 5, -154.80979919433594, [0.06909119 0.22618976 1.         0.26257494 0.39308956],  [0.03580965 0.50510734 1.         0.62086535 0.6113333 ], [0.129306   0.39644694 1.         0.41929537 0.41061294] 
 5, -131.1856231689453, [0.08241561 0.53212506 1.         0.6207528  0.42194223],  [0.15207927 0.508265   1.         0.20777443 0.55861294], [0.2686318  0.54740447 1.         0.87502503 0.47896388] 
 5, -135.72068786621094, [0.08402136 0.4666163  1.         0.48664817 0.42389303],  [0.08806447 0.3001476  1.         0.3279227  0.32244858], [0.0777381  0.5018883  1.         0.29627898 0.38123995] 
 5, -155.80027770996094, [0.1389675  0.432149   1.         0.38373134 0.4184261 ],  [0.1400153  0.65248597 1.         0.37122557 0.7691929 ], [0.1483268  0.4854654  1.         0.28468952 0.44255352] 
 5, -165.36431884765625, [0.05020213 0.22046514 1.         0.32540166 0.3325823 ],  [0.09090579 0.30879733 1.         0.44146594 0.47123042], [0.0391151  0.32131067 1.         0.3940499  0.47803646] 
 5, -130.22389221191406, [0.0464369  0.23778366 1.         0.19647504 0.5907715 ],  [0.         0.23883082 1.         0.207132   0.7287827 ], [0.22667164 0.49940994 1.         0.28952342 0.6533637 ] 
 5, -138.7067413330078, [0.09469778 0.31290606 1.         0.31213465 0.9477703 ],  [0.10330423 0.29208168 1.         0.09003848 0.9631169 ], [0.07871128 0.22433144 1.         0.20642693 0.71751887] 
 5, -167.4336700439453, [0.08487328 0.32379848 1.         0.3505536  0.33656678],  [0.18318528 0.5069192  1.         0.5582647  0.39835826], [0.17480542 0.25785196 1.         0.14564893 0.40245235] 
 5, -152.0901641845703, [0.06632972 0.3757884  1.         0.24738128 0.7082669 ],  [0.06385467 0.40601754 1.         0.22717203 0.6064902 ], [0.07788589 0.38631162 1.         0.2543719  0.54201317] 
 5, -155.12179565429688, [0.09383927 0.37153357 1.         0.2870928  0.4696227 ],  [0.16987099 0.44033772 1.         0.35329095 0.470061  ], [0.02013542 0.2872497  1.         0.19694927 0.44959298] 
